Title,Link,Location,Price,Information,Image,Brand
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-velacheri-chennai-iid-1818082724,VelacheriToday,"₹ 2,25,000","2006 - 86,000 km",https://apollo.olx.in:443/v1/files/rlk9vca40fxs2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-baner-pune-iid-1815530030,BanerToday,"₹ 9,95,000","2018 - 35,000 km",https://apollo.olx.in:443/v1/files/t04ieeuv5xhi-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-rohini-sector-10-delhi-iid-1818082679,Rohini Sector 10Today,"₹ 7,88,829","2018 - 27,828 km",https://apollo.olx.in:443/v1/files/7u4oeiy56xqd3-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Elite i20,https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-rohini-sector-10-delhi-iid-1818082665,Rohini Sector 10Today,"₹ 4,40,011","2017 - 72,597 km",https://apollo.olx.in:443/v1/files/rd4r53zth68r1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Elantra,https://www.olx.in/item/cars-c84-used-hyundai-elantra-in-vile-parle-east-mumbai-iid-1814653397,Vile Parle EastToday,"₹ 9,15,000","2017 - 98,000 km",https://apollo.olx.in:443/v1/files/1qsifygfphog2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-gomti-nagar-lucknow-iid-1806347932,Gomti Nagar3 days ago,"₹ 2,75,000","2012 - 151,000 km",https://apollo.olx.in:443/v1/files/8zc35o0triq82-IN/image;s=150x0;q=50;f=webp;,hyundai
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-old-midc-satara-iid-1816986271,Old MIDC16 Aug,"₹ 5,35,000","2016 - 57,000 km",https://apollo.olx.in:443/v1/files/8rth9rya93rf2-IN/image;s=150x0;q=50;f=webp;,honda
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-jadavpur-kolkata-iid-1810854799,Jadavpur2 days ago,"₹ 1,69,000","2011 - 69,000 km",https://apollo.olx.in:443/v1/files/0qgk975qldtm3-IN/image;s=150x0;q=50;f=webp;,honda
BMW 6 Series,https://www.olx.in/item/cars-c84-used-bmw-6-series-in-sushant-lok-gurgaon-iid-1789393491,Sushant Lok5 Jul,"₹ 45,00,000","2020 - 38,650 km",https://apollo.olx.in:443/v1/files/op66xvz5qzi03-IN/image;s=150x0;q=50;f=webp;,honda
Maruti Suzuki Wagon-R,https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-in-dindoli-surat-iid-1818084117,DindoliToday,"₹ 1,50,000","2010 - 92,294 km",https://apollo.olx.in:443/v1/files/r8c5vodk4em13-IN/image;s=150x0;q=50;f=webp;,honda
Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-colony-pind-mudhal-mudal-iid-1818084102,Colony Pind MudhalToday,"₹ 2,60,000","2014 - 101,000 km",https://apollo.olx.in:443/v1/files/bnw8nwfv7j7b-IN/image;s=150x0;q=50;f=webp;,honda
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-janapath-guwahati-iid-1818084108,JanapathToday,"₹ 19,95,000","2023 - 40,000 km",https://apollo.olx.in:443/v1/files/3lgz7pb9t3cu2-IN/image;s=150x0;q=50;f=webp;,honda
