,Title,Link,Location,Price,Image,Brand,Year,Distance Covered
62,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-kailash-nagar-kodalia-iid-1817219722,Kailash Nagar,215000,https://apollo.olx.in:443/v1/files/ikmgc5vvtnd8-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,25000.0
63,Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-shibpur-howrah-iid-1817010042,Shibpur,149000,https://apollo.olx.in:443/v1/files/1tuhisxv4pgs3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,38000.0
64,Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-howrah-ac-market-howrah-iid-1817010257,Howrah AC Market,145000,https://apollo.olx.in:443/v1/files/jn8k3b0kckwf3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,38000.0
65,Hyundai Elantra,https://www.olx.in/item/cars-c84-used-hyundai-elantra-in-sector-19d-chandigarh-iid-1815538703,Sector 19D,850000,https://apollo.olx.in:443/v1/files/rtii3h2a54q71-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,99000.0
66,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-medavakkam-chennai-iid-1818082942,Medavakkam,225000,https://apollo.olx.in:443/v1/files/erin069kx6fz-IN/image;s=150x0;q=50;f=webp;,hyundai,2006,86000.0
67,Hyundai Exter,https://www.olx.in/item/cars-c84-used-hyundai-exter-in-raja-garden-delhi-iid-1817846249,Raja Garden,764000,https://apollo.olx.in:443/v1/files/ijmeyvk1wgfu3-IN/image;s=150x0;q=50;f=webp;,hyundai,2023,16739.0
68,Hyundai Creta Facelift,https://www.olx.in/item/cars-c84-used-hyundai-creta-facelift-in-kurali-chandigarh-rd-kharar-iid-1817076980,Kurali Chandigarh Rd,1185000,https://apollo.olx.in:443/v1/files/vrrwpu4ie78v3-IN/image;s=150x0;q=50;f=webp;,hyundai,2024,8000.0
69,Hyundai Grand i10,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-frontier-colony-faridabad-iid-1815835949,Frontier Colony,200000,https://apollo.olx.in:443/v1/files/ripizwa0n5qx1-IN/image;s=150x0;q=50;f=webp;,hyundai,2014,68140.0
70,Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-tippu-nagar-arsikere-iid-1817442336,Tippu Nagar,260000,https://apollo.olx.in:443/v1/files/6po9vtqgk72j2-IN/image;s=150x0;q=50;f=webp;,hyundai,2011,72000.0
71,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-vikaspuri-delhi-iid-1818082758,Vikaspuri,875000,https://apollo.olx.in:443/v1/files/9n7azowtgi12-IN/image;s=150x0;q=50;f=webp;,hyundai,2019,55000.0
72,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-red-hills-hyderabad-iid-1817795551,Red Hills,185000,https://apollo.olx.in:443/v1/files/bud4tgxtnipn1-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,64000.0
73,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-pune-vidyapith-pune-iid-1814602200,Pune Vidyapith,785000,https://apollo.olx.in:443/v1/files/twucn07wwjnt-IN/image;s=150x0;q=50;f=webp;,hyundai,2016,43000.0
74,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-velacheri-chennai-iid-1818082724,Velacheri,225000,https://apollo.olx.in:443/v1/files/rlk9vca40fxs2-IN/image;s=150x0;q=50;f=webp;,hyundai,2006,86000.0
75,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-baner-pune-iid-1815530030,Baner,995000,https://apollo.olx.in:443/v1/files/t04ieeuv5xhi-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,35000.0
76,Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-rohini-sector-10-delhi-iid-1818082679,Rohini Sector 10,788829,https://apollo.olx.in:443/v1/files/7u4oeiy56xqd3-IN/image;s=150x0;q=50;f=webp;,hyundai,2018,27828.0
77,Hyundai Elite i20,https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-rohini-sector-10-delhi-iid-1818082665,Rohini Sector 10,440011,https://apollo.olx.in:443/v1/files/rd4r53zth68r1-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,72597.0
78,Hyundai Elantra,https://www.olx.in/item/cars-c84-used-hyundai-elantra-in-vile-parle-east-mumbai-iid-1814653397,Vile Parle East,915000,https://apollo.olx.in:443/v1/files/1qsifygfphog2-IN/image;s=150x0;q=50;f=webp;,hyundai,2017,98000.0
79,Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-gomti-nagar-lucknow-iid-1806347932,Gomti Nagar,275000,https://apollo.olx.in:443/v1/files/8zc35o0triq82-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,151000.0
80,Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-old-midc-satara-iid-1816986271,Old MIDC,535000,https://apollo.olx.in:443/v1/files/8rth9rya93rf2-IN/image;s=150x0;q=50;f=webp;,volkswagen,2016,57000.0
81,Hyundai i20,https://www.olx.in/item/cars-c84-used-hyundai-i20-in-jadavpur-kolkata-iid-1810854799,Jadavpur,169000,https://apollo.olx.in:443/v1/files/0qgk975qldtm3-IN/image;s=150x0;q=50;f=webp;,hyundai,2011,69000.0
82,BMW 6 Series,https://www.olx.in/item/cars-c84-used-bmw-6-series-in-sushant-lok-gurgaon-iid-1789393491,Sushant Lok,4500000,https://apollo.olx.in:443/v1/files/op66xvz5qzi03-IN/image;s=150x0;q=50;f=webp;,bmw,2020,38650.0
